IDEmpresa;Nombre Comercial;Web;Dirección;C.P.;Localidad;Provincia;HEART OF SPAIN
1294;EMJAMESA IBERICOS;www.emjamesaibericos.com;POL. INDUSTRIAL EL INESTAL MANZANA 2 PARC. 25;37300;PEÑARANDA DE BRACAMONTE;SALAMANCA;
1330;EXPLOTACIONES AVICOLAS GARCIA PUENTE;www.garciapuente.com;CAMINO DE SANGUJERO S/N;47410;OLMEDO;VALLADOLID;
1393;MIEL FEYCE;https://maeshoney.com;CARRETERA VECINOS KM. 8,2;37187;ALDEATEJADA;SALAMANCA;
1580;MORCILLAS AGUEDA;www.morcillasdesotopalacios.com;POL. INDUSTRIAL HORMIGONES MARCOS NAVE 6;09140;SOTOPALACIOS;BURGOS;
1968;JUAN MANUEL HERNANDEZ;www.jamonesjuanmanuel.com;CARRETERA CAMPILLO SAN JUAN BAUTISTA 20;37770;GUIJUELO;SALAMANCA;
2699;POMAR VIÑEDOS;www.pomardeburgos.com;CAMINO CARRALACEÑA S/N;09318;VALDEZATE;BURGOS;
2733;SOBAOS Y QUESDAS DEL PAS-PELAYO;www.productosalpe.com;CALLE BARBOTAN 11;34200;VENTA DE BAÑOS;PALENCIA;
2860;RIBAS DEL CUA;www.ribasdelcua.com;CALLE FINCA ROBLEDO APDO. CORREOS 83;24540;CACABELOS;LEON;
3055;SEGOVIANA DE PATATAS;www.segovianadepatatas.es;CAMINO DE FUENTES A MOZONCILLO S/N;40270;CARBONERO EL MAYOR;SEGOVIA;
3098;MIEL SUBIÑAS;;CALLE GARCI FERNANDEZ 13;09346;COVARRUBIAS;BURGOS;
3208;GRUPO VICTOR GOMEZ;www.grupovictorgomez.com;CALLE ALFONSO XIII 12;37770;GUIJUELO;SALAMANCA;
3241;VIVEROS CAMPIÑAS;www.viveroscampinas.com;CARRETERA DE VALLELADO KM. 1;40216;CHAÑE;SEGOVIA;
3270;BODEGAS RIBON;www.bodegasribon.com;CALLE BASILON 15;47350;QUINTANILLA DE ONESIMO;VALLADOLID;AUTORIZADO
7743;SANTA APOLONIA;www.fincacardaba.com;CALLE COTO DE CARDABA S/N;40314;VALTIENDAS;SEGOVIA;
32560;MONTEJUELO;www.gonzalezygonzalez.com;POL. INDUSTRIAL 1 PARC. 69-70;40460;SANTIUSTE DE SAN JUAN BAUTISTA;SEGOVIA;
35354;AGUA DEL TELENO;www.aguadelteleno.es;CALLE VIA DE LA PLATA S/N;24764;PALACIOS DE LA VALDUERNA;LEON;
35669;AJOS CALVO;;CARRETERA PESQUERA 38;47300;PEÑAFIEL;VALLADOLID;
35893;ASOCIACION TUTOR DEL JUDION DE LA GRANJA;www.eljudion.lagranja-valsain.com;PLAZA DE LOS DOLORES 1;40100;SAN ILDEFONSO O LA GRANJA;SEGOVIA;
36232;PERLINES ZAMORANO, JOSE ANTONIO;;CARRETERA SALAMANCA 5;49400;FUENTESAUCO;ZAMORA;
36233;QUESOS DEL ALBERCHE;www.quesosdelalberche.es;CALLE MAESTRA AGUSTINA 57;05120;NAVANDRINAL;AVILA;
36791;BODEGA SAN GABRIEL;www.bodegasangabriel.com;CARRETERA DE LA AGUILERA KM. 6,5;09400;ARANDA DE DUERO;BURGOS;
36971;DON ULPIANO;www.donulpiano.com;CALLE AIRE 17  BAJO;37800;ALBA DE TORMES;SALAMANCA;
38135;MANCHON MIERES;https://manchonmieres.com/;CALLE REGADERILLAS S/N;47315;PESQUERA DE DUERO;VALLADOLID;
38475;AGRICOLA HERMANOS GONZALEZ LOPEZ;www.mucy.es;CALLE LA CRUZ 4;47194;MUCIENTES;VALLADOLID;
39596;LEGUMBRES ESPINO;www.explotaciondelteso.com;AVENIDA SALAMANCA 4;37419;ESPINO DE LA ORBADA;SALAMANCA;
260;BODEGA ARAUS BALLESTEROS;www.arausballesteros.com;CALLE REAL 7;09343;VILLAHOZ;BURGOS;
557;BODEGAS PRADO DE OLMEDO;www.pradodeolmedo.com;CALLE PARAJE EL SALEGAR S/N;09370;QUINTANA DEL PIDIO;BURGOS;
600;BODEGAS VEGANZONES;www.bodegasveganzones.com/;CALLE ROSARIO 4;47311;FOMPEDRAZA;VALLADOLID;
704;CANPIPORK;www.ibericoscanpipork.es;POL. INDUSTRIAL AGROALIMENTARIO C/ SIERRA DE TONDA PARC. 18;37770;GUIJUELO;SALAMANCA;AUTORIZADO
